resume_id,job_id,label
4aa9cb5a69324f3f86547976a1bcd644,74186bc4fe204ea78fe3e6e3d01d95ff,0
616f538605a840189ba629ada3a7f650,a2b22045c80d4661b584cd377b895df1,1
f14ae51ff89f474c9d87ac48f4ff38f7,d502c9820b914fcea5f64eeb35119599,0
db4cf7f87c184be2b5124e99353cff6c,a649ba75a4344473a666d82f30a640db,0
f4f56ae2f75546dba374209eca9a11c9,8458362c134847a1a8ba7987afd50e6a,0
cdd730e12fe243ce8613e7d166874210,a3d05c6e05d0496cbd874d7f3a8518d4,0
539ffce302c143fcb4dfd3d9bae5828a,359afba4ad3f4250b542ab0c89daf873,0
3884a0a31ebc4b048786633e1de18951,1c2bdb2b05c149bdb099185ac3555df4,1
c05320a32a604223948af13e26745af6,fc553051483c4135a17ab1b866de44cb,0
2199614634024c10883b7728057f058a,6044dffef7704275960d86f32b7b15c4,1
9df56c15ad1b4f00a02f53f3ca1be36e,6b49582bc5f54c85a52afe99e0bdf152,0
f5fcf606675d4e26b0ca8fe234242262,403dd963f91b49c7bd32f20498f1baae,0
3234a2c5a52b46d3a4848a3ee023bb30,5162b0b4d68246e3a4aebff593d1b9d4,0
e1d643d9a0164da29b2cb52d203d5c89,9fc82b2a0f7f4529850a9bb2e8fb101f,1
d060582b1ff04536be77d39820c6c229,1f32c13e16b34f14a6f04fd85040437a,1
66f3905dc8b94b078e496e8ee56519e4,f4ebc85469b649b5b57097786fc9c6a2,0
7423dd687c9b4f3393535ad066962a57,bfeb368edae54b00b1fd4c33c6efaa39,0
5b154a3ba03b4e1abd18d9e1f1bc0d22,d19f3833934448199338a14a7c9c17ea,1
c1596bc1823e4deb8ff0293815b47ae7,f8511c55c3124a96b8c3aeb84ff5922f,1
a5849a7b6cb64d769f5e7d5423fea2c1,712f77e534fa454a84599ad99a83a683,1
f3700320c3364b90a10b435325a6adc3,1760873e94754aa58f6a9f97549b0e2b,1
6062d737e961483ba8669279e8d2f207,70c7b5102f4840dba4b17718fca663ff,1
db13b1e933214b14bddd72be933b27d6,985cda6a8e2c421ea4459a4ae2b96a10,0
